"INDICATOR","HFA_478"

"HFA_478","Acute care hospital beds per 100 000"

"UNIT_TYPE","Unit"
"BEDS_100K","beds per 100 000 population"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1988","329.08"
"ALB","","ALL","1989","359.76"
"ALB","","ALL","1990","344.83"
"ALB","","ALL","1991","340.82"
"ALB","","ALL","1992","340.9"
"ALB","","ALL","1993","334.24"
"ALB","","ALL","1994","259.96"
"ALB","","ALL","1995","289.15"
"ALB","","ALL","1996","284.56"
"ALB","","ALL","1997","276.6"
"ALB","","ALL","1998","278.06"
"ALB","","ALL","1999","275.33"
"ALB","","ALL","2000","293.71"
"ALB","","ALL","2001","295.87"
"ALB","","ALL","2002","284.58"
"ALB","","ALL","2003","275.98"
"ALB","","ALL","2004","271.48"
"ALB","","ALL","2005","274.52"
"ALB","","ALL","2006","273.11"
"ALB","","ALL","2007","271.31"
"ALB","","ALL","2009","267.67"
"ALB","","ALL","2010","275.18"
"ALB","","ALL","2011","264.46"
"ALB","","ALL","2012","262.77"
"ALB","","ALL","2013","263.1"
"AND","","ALL","1996","239.99"
"AND","","ALL","1997","223.44"
"AND","","ALL","1998","233.26"
"AND","","ALL","1999","244.22"
"AND","","ALL","2000","244.28"
"AND","","ALL","2001","254.21"
"AND","","ALL","2002","283.17"
"AND","","ALL","2003","253.8"
"AND","","ALL","2004","209.12"
"AND","","ALL","2005","200.74"
"AND","","ALL","2006","195.28"
"AND","","ALL","2007","194.7"
"AND","","ALL","2009","189.84"
"ARM","","ALL","1980","717.55"
"ARM","","ALL","1981","736.75"
"ARM","","ALL","1982","748.58"
"ARM","","ALL","1983","741.67"
"ARM","","ALL","1984","750.65"
"ARM","","ALL","1985","770.28"
"ARM","","ALL","1986","767.57"
"ARM","","ALL","1987","802"
"ARM","","ALL","1988","832.5"
"ARM","","ALL","1989","819.49"
"ARM","","ALL","1990","825.34"
"ARM","","ALL","1991","772.08"
"ARM","","ALL","1992","757"
"ARM","","ALL","1993","797.73"
"ARM","","ALL","1994","787.47"
"ARM","","ALL","1995","797.81"
"ARM","","ALL","1996","754.68"
"ARM","","ALL","1997","710.35"
"ARM","","ALL","1998","701.9"
"ARM","","ALL","1999","650.6"
"ARM","","ALL","2000","574.82"
"ARM","","ALL","2001","440.45"
"ARM","","ALL","2002","378.1"
"ARM","","ALL","2003","385.92"
"ARM","","ALL","2004","388.11"
"ARM","","ALL","2005","377.62"
"ARM","","ALL","2006","369.28"
"ARM","","ALL","2007","334.51"
"ARM","","ALL","2008","310.66"
"ARM","","ALL","2009","300.49"
"ARM","","ALL","2010","302.64"
"ARM","","ALL","2011","305.19"
"ARM","","ALL","2012","330.01"
"ARM","","ALL","2013","329.82"
"ARM","","ALL","2014","341.07"
"AUT","","ALL","1988","843.56"
"AUT","","ALL","1989","828.1"
"AUT","","ALL","1990","809.78"
"AUT","","ALL","1991","787.15"
"AUT","","ALL","1992","766.35"
"AUT","","ALL","1993","753.05"
"AUT","","ALL","1994","749.91"
"AUT","","ALL","1995","741.31"
"AUT","","ALL","1996","729.5"
"AUT","","ALL","1997","721.44"
"AUT","","ALL","1998","707.34"
"AUT","","ALL","1999","694.62"
"AUT","","ALL","2000","684.87"
"AUT","","ALL","2001","675.24"
"AUT","","ALL","2002","666.67"
"AUT","","ALL","2003","655.89"
"AUT","","ALL","2004","649.19"
"AUT","","ALL","2005","642.77"
"AUT","","ALL","2006","637.15"
"AUT","","ALL","2007","637.98"
"AUT","","ALL","2008","629.26"
"AUT","","ALL","2009","622.99"
"AUT","","ALL","2010","616"
"AUT","","ALL","2011","610.23"
"AUT","","ALL","2012","599.8"
"AUT","","ALL","2013","587.36"
"AUT","","ALL","2014","579.96"
"AZE","","ALL","1990","732.98"
"AZE","","ALL","1991","764.77"
"AZE","","ALL","1992","786.73"
"AZE","","ALL","1993","781.05"
"AZE","","ALL","1994","751.37"
"AZE","","ALL","1995","750.89"
"AZE","","ALL","1996","738.52"
